"end_station_name","e_station_uid","end_lat","end_lng","instances"
"Streeter Dr & Grand Ave",259,"41.892278","-87.612043","66681"
"DuSable Lake Shore Dr & North Blvd",1681,"41.911722","-87.626804","42785"
"DuSable Lake Shore Dr & Monroe St",360,"41.880958","-87.616743","42414"
"Michigan Ave & Oak St",266,"41.90096039","-87.62377664","39386"
"Kingsbury St & Kinzie St",1598,"41.88917683258","-87.6385057718","38747"
"Clinton St & Washington Blvd",1863,"41.88338","-87.64117","34889"
"Clark St & Elm St",1749,"41.902973","-87.63128","34855"
"Clinton St & Madison St",1722,"41.882751965685614","-87.64119029045105","33616"
"Millennium Park",254,"41.8810317","-87.62408432","33127"
"Wells St & Concord Ln",1817,"41.912133","-87.634656","32221"
NULL,1683,"41.89","-87.63","31880"
"Theater on the Lake",1793,"41.926277","-87.630834","30381"
"Wells St & Elm St",1652,"41.903222","-87.634324","30224"
NULL,1683,"41.91","-87.63","27367"
"State St & Chicago Ave",646,"41.89661720040753","-87.62857854366302","27136"
"Dearborn St & Erie St",267,"41.893992","-87.629318","26977"
"Clinton St & Jackson Blvd",1186,"41.87831661183069","-87.64098107814789","26775"
"Wabash Ave & Grand Ave",1762,"41.891466","-87.626761","26164"
"Indiana Ave & Roosevelt Rd",1696,"41.867888","-87.623041","25688"
"Canal St & Madison St",371,"41.882409","-87.639767","25631"
NULL,1683,"41.88","-87.63","25515"
"Clark St & Armitage Ave",304,"41.918306","-87.636282","25482"
"Clark St & Lincoln Ave",316,"41.915689","-87.6346","24972"
"Broadway & Barry Ave",299,"41.93758231600629","-87.6440978050232","24919"
"University Ave & 57th St",1616,"41.791478","-87.599861","24906"
"Shedd Aquarium",402,"41.86722595682","-87.6153553902","24789"
"Wilton Ave & Belmont Ave",1773,"41.940231918108594","-87.65294373035431","24651"
"Dusable Harbor",1610,"41.886976","-87.612813","24441"
"Michigan Ave & Washington St",252,"41.8839840647265","-87.6246839761734","24339"
NULL,1683,"41.9","-87.63","24336"
NULL,1683,"41.94","-87.65","24197"
"Wells St & Hubbard St",1783,"41.889906","-87.634266","23747"
"Wells St & Huron St",1736,"41.894722","-87.634362","23705"
"Dearborn Pkwy & Delaware Pl",1769,"41.898969","-87.629912","22811"
"LaSalle St & Illinois St",381,"41.890762","-87.631697","22719"
NULL,1683,"41.89","-87.62","22660"
"Canal St & Adams St",255,"41.879255","-87.639904","22577"
"New St & Illinois St",1737,"41.89084704062381","-87.61861681938171","22488"
"Daley Center Plaza",1734,"41.884241","-87.629634","22449"
"McClurg Ct & Ohio St",1743,"41.892592119709725","-87.61728912591934","22101"
NULL,1683,"41.93","-87.64","22034"
"Michigan Ave & Lake St",1713,"41.886022","-87.624398","22016"
"Wabash Ave & Roosevelt Rd",1706,"41.867227","-87.625961","21708"
"Halsted St & Fulton St",654,"41.886871","-87.648089","21689"
"Ellis Ave & 60th St",1577,"41.78509714636","-87.6010727606","21535"
"Larrabee St & Kingsbury St",1733,"41.897764","-87.642884","21530"
"Desplaines St & Kinzie St",1729,"41.888716036","-87.6444478533","21521"
NULL,1683,"41.88","-87.64","21489"
"DuSable Lake Shore Dr & Diversey Pkwy",1845,"41.932588","-87.636427","21252"
"Ashland Ave & Division St",273,"41.90345","-87.667747","20993"
NULL,1683,"41.95","-87.65","20703"
"Sheffield Ave & Waveland Ave",1767,"41.949399","-87.654529","20686"
NULL,1683,"41.95","-87.66","20518"
"Green St & Madison St",1764,"41.881859328038225","-87.64926373958588","20443"
"Clark St & Wrightwood Ave",1714,"41.929546","-87.643118","20385"
NULL,1683,"41.94","-87.64","20336"
"Broadway & Waveland Ave",366,"41.949074","-87.648636","20288"
"Broadway & Cornelia Ave",352,"41.945529","-87.646439","20206"
NULL,1683,"41.93","-87.65","20058"
"Halsted St & Clybourn Ave",849,"41.909668","-87.648128","19927"
"Clinton St & Lake St",258,"41.885637","-87.641823","19840"
"Columbus Dr & Randolph St",344,"41.884728","-87.619521","19726"
"Orleans St & Merchandise Mart Plaza",1717,"41.888243","-87.63639","19556"
"Dearborn St & Monroe St",1710,"41.881319815","-87.6295209193","19536"
"Ellis Ave & 55th St",1622,"41.79430062054","-87.6014497734","19419"
"Damen Ave & Pierce Ave",1727,"41.9093960065","-87.6776919292","19405"
"Sheffield Ave & Fullerton Ave",1740,"41.9256018819","-87.6537080423","19398"
"Lincoln Ave & Fullerton Ave",1854,"41.924161029067626","-87.64638036489487","19247"
"Michigan Ave & 8th St",1165,"41.872773","-87.623981","19063"
"Morgan St & Polk St",1771,"41.871737","-87.65103","19016"
"Clark St & Newport St",1177,"41.94454","-87.654678","18938"
"Clark St & Drummond Pl",1778,"41.931248","-87.644336","18850"
"Montrose Harbor",1799,"41.963982","-87.638181","18815"
"Pine Grove Ave & Waveland Ave",1782,"41.94947274088333","-87.64645278453827","18692"
"Ravenswood Ave & Lawrence Ave",1859,"41.968445","-87.674226","18683"
"DuSable Lake Shore Dr & Belmont Ave",1849,"41.940775","-87.639192","18485"
"St. Clair St & Erie St",256,"41.89434513742426","-87.62279838323593","18389"
"Clark St & Lake St",1575,"41.88602082773","-87.6308760584","18243"
"Loomis St & Lexington St",369,"41.87222873224032","-87.66136385500431","18056"
"Larrabee St & Webster Ave",319,"41.921822","-87.64414","18010"
"Fairbanks Ct & Grand Ave",1707,"41.89184737210993","-87.62058019638062","17728"
"Federal St & Polk St",1699,"41.87207763285","-87.6295437729","17725"
"Halsted St & Roscoe St",1835,"41.94367","-87.64895","17666"
"Lakeview Ave & Fullerton Pkwy",1831,"41.925858","-87.638973","17551"
"Clark St & Schiller St",1834,"41.907993","-87.631501","17540"
"Wells St & Evergreen Ave",1816,"41.906724","-87.63483","17301"
NULL,1683,"41.92","-87.65","17271"
NULL,1683,"41.89","-87.65","17082"
"LaSalle St & Jackson Blvd",1821,"41.878166","-87.631929","17043"
"DuSable Lake Shore Dr & Wellington Ave",1750,"41.9366884494997","-87.63682901859283","17012"
"Franklin St & Jackson Blvd",1718,"41.8777079559","-87.6353211408","16907"
"Peoria St & Jackson Blvd",310,"41.8776415962753","-87.64961779117584","16679"
"Franklin St & Lake St",1759,"41.885837","-87.6355","16642"
"Southport Ave & Roscoe St",276,"41.943739","-87.66402","16573"
NULL,1683,"41.89","-87.64","16454"
"McClurg Ct & Erie St",1597,"41.894503","-87.617854","16447"
"State St & Randolph St",1719,"41.88462107257936","-87.62783423066139","16359"
NULL,1683,"41.88","-87.65","16336"
"Halsted St & Polk St",1765,"41.87184","-87.64664","16288"
"Rush St & Cedar St",1650,"41.90230870122","-87.627690528","16251"
"State St & 33rd St",326,"41.834734","-87.625813","16034"
"Halsted St & Wrightwood Ave",1856,"41.929143","-87.649077","15874"
"Sheridan Rd & Irving Park Rd",274,"41.954245","-87.654406","15698"
"Adler Planetarium",382,"41.866095","-87.607267","15695"
"Stockton Dr & Wrightwood Ave",350,"41.93132","-87.638742","15249"
"Sheffield Ave & Wellington Ave",1753,"41.9362534831413","-87.65266209840775","15181"
"State St & Kinzie St",268,"41.88937546663168","-87.62707650661469","15156"
"Sheffield Ave & Wrightwood Ave",1833,"41.928712","-87.653833","15142"
"Rush St & Superior St",396,"41.89576474564","-87.6259080327","15136"
"Sheffield Ave & Webster Ave",1841,"41.92154","-87.653818","15029"
NULL,1683,"41.92","-87.64","15020"
"Aberdeen St & Jackson Blvd",309,"41.87772613","-87.65478743","14992"
"Franklin St & Monroe St",1823,"41.880317","-87.635185","14983"
"Broadway & Belmont Ave",351,"41.940106","-87.645451","14976"
"Pine Grove Ave & Irving Park Rd",1804,"41.954383","-87.648043","14948"
"Mies van der Rohe Way & Chestnut St",395,"41.8985866514","-87.6219152258","14908"
NULL,1683,"41.9","-87.62","14794"
"Clarendon Ave & Gordon Ter",375,"41.95786652415174","-87.64950513839722","14723"
"Franklin St & Illinois St",1687,"41.89102331025185","-87.63547986745834","14717"
"Clark St & Winnemac Ave",1842,"41.97334764047304","-87.6678554713726","14594"
"Broadway & Sheridan Rd",365,"41.952833","-87.649993","14373"
"Clark St & Wellington Ave",1774,"41.9364968219","-87.6475386582","14366"
"Halsted St & Dickens Ave",318,"41.919936","-87.64883","14261"
"Lincoln Park Conservatory",1682,"41.92393131136619","-87.63582453131676","14185"
"Mies van der Rohe Way & Chicago Ave",370,"41.896944626370825","-87.62175768613815","14145"
"MLK Jr Dr & 29th St",1776,"41.842052","-87.617","14140"
"Sheridan Rd & Montrose Ave",1758,"41.96167","-87.65464","14138"
"Bissell St & Armitage Ave*",1866,"41.9182955629354","-87.65218332409859","14128"
"Wabash Ave & 9th St",1825,"41.870769","-87.625734","14076"
"Sedgwick St & Huron St",1755,"41.894666","-87.638437","14058"
"Milwaukee Ave & Grand Ave",262,"41.891578","-87.648384","14017"
"Wabash Ave & Wacker Pl",1772,"41.886875","-87.62603","13831"
"Sedgwick St & Webster Ave",317,"41.922167","-87.638888","13531"
"Sedgwick St & North Ave",1748,"41.911386","-87.638677","13404"
"Cityfront Plaza Dr & Pioneer Ct",380,"41.890573","-87.622072","13341"
"Sheffield Ave & Kingsbury St",306,"41.910522","-87.653106","13339"
"Lakefront Trail & Bryn Mawr Ave",408,"41.98404411519213","-87.65228122472763","13286"
"Wood St & Milwaukee Ave",328,"41.907655","-87.672552","13254"
"Field Blvd & South Water St",397,"41.88634906269","-87.6175165471","13130"
"Desplaines St & Jackson Blvd",399,"41.87811890091227","-87.64394760131836","13028"
"Ogden Ave & Chicago Ave",1716,"41.896362458","-87.6540612729","12947"
"Racine Ave & Fullerton Ave",1742,"41.925566","-87.658416","12863"
NULL,1683,"41.92","-87.63","12759"
"Morgan St & Lake St*",1869,"41.88549170626906","-87.65228927135468","12612"
"Calumet Ave & 33rd St",327,"41.8349","-87.61793","12546"
"Michigan Ave & 14th St",1766,"41.864059","-87.623727","12514"
NULL,1683,"41.88","-87.62","12504"
"Dayton St & North Ave",271,"41.9105780349","-87.6494219288","12392"
"Wilton Ave & Diversey Pkwy",1738,"41.932418","-87.652705","12369"
"Sangamon St & Lake St",1739,"41.88577925240433","-87.65102460980414","12354"
"Aberdeen St & Randolph St",478,"41.884114","-87.654264","12303"
"Honore St & Division St",1723,"41.903119","-87.673935","12281"
NULL,1683,"41.91","-87.65","12250"
"Clark St & North Ave",293,"41.911974","-87.631942","12234"
"Clark St & Grace St",1768,"41.95078","-87.659172","12221"
"Broadway & Wilson Ave",278,"41.965221","-87.658139","12219"
"900 W Harrison St",260,"41.874754","-87.649807","12172"
"Milwaukee Ave & Wabansia Ave",334,"41.912616","-87.681391","12144"
"Burling St & Diversey Pkwy",1843,"41.93314","-87.64776","11966"
"Wabash Ave & Adams St",1578,"41.87947235235","-87.6256886059","11945"
"Clark St & Chicago Ave",361,"41.89675","-87.63089","11902"
"California Ave & Milwaukee Ave",283,"41.922695","-87.697153","11894"
"Southport Ave & Wellington Ave",1747,"41.93577461766458","-87.66360014677048","11876"
"Clark St & Berwyn Ave",1658,"41.97803062248656","-87.66856491565704","11765"
"Damen Ave & Cortland St",295,"41.915983","-87.677335","11713"
"Shore Dr & 55th St",1798,"41.795212","-87.580715","11630"
"Clarendon Ave & Junior Ter",376,"41.961004","-87.649603","11547"
"Elizabeth St & Randolph St",652,"41.884336","-87.658902","11544"
"Franklin St & Chicago Ave",257,"41.896746973093805","-87.63566762208939","11410"
"Ritchie Ct & Banks St",1651,"41.906866","-87.626217","11367"
NULL,1683,"41.96","-87.65","11367"
"Clifton Ave & Armitage Ave",1790,"41.918216","-87.656936","11346"
"Racine Ave & Belmont Ave",1802,"41.939743","-87.658865","11275"
"Rush St & Hubbard St",1599,"41.890173","-87.626185","11206"
