"end_station_name","e_station_uid","avg_lat","avg_lng","instances"
NULL,1683,"41.9112682254367","-87.6532296699564","1016302"
"Streeter Dr & Grand Ave",259,"41.892277992516505","-87.6120430165708","66685"
"DuSable Lake Shore Dr & North Blvd",1681,"41.91172201167161","-87.62680401098447","42788"
"DuSable Lake Shore Dr & Monroe St",360,"41.880957965638984","-87.61674307917151","42418"
"Michigan Ave & Oak St",266,"41.90096037726519","-87.62377671337329","39391"
"Kingsbury St & Kinzie St",1598,"41.8891769160047","-87.63850560200818","38759"
"Clinton St & Washington Blvd",1863,"41.8833802675932","-87.64117016178403","34898"
"Clark St & Elm St",1749,"41.902972954542776","-87.6312800017741","34856"
"Clinton St & Madison St",1722,"41.88275183028241","-87.64119010809941","33627"
"Millennium Park",254,"41.881031540768824","-87.6240843513843","33136"
"Wells St & Concord Ln",1817,"41.91213296767226","-87.63465593992761","32229"
"Theater on the Lake",1793,"41.926276993514605","-87.63083403868666","30382"
"Wells St & Elm St",1652,"41.90322198583829","-87.63432414658548","30227"
"State St & Chicago Ave",646,"41.89661718353569","-87.62857862728767","27140"
"Dearborn St & Erie St",267,"41.89399194301607","-87.62931827595057","26980"
"Clinton St & Jackson Blvd",1186,"41.87831661604085","-87.64098119313162","26778"
"Wabash Ave & Grand Ave",1762,"41.89146610687687","-87.62676104228872","26167"
"Indiana Ave & Roosevelt Rd",1696,"41.86788799706719","-87.62304096039564","25694"
"Canal St & Madison St",371,"41.88240898037688","-87.63976697189626","25632"
"Clark St & Armitage Ave",304,"41.91830602556331","-87.63628198656902","25485"
"Clark St & Lincoln Ave",316,"41.91568905609017","-87.63460000492961","24975"
"Broadway & Barry Ave",299,"41.93758238226003","-87.64409781818347","24920"
"University Ave & 57th St",1616,"41.791477999999216","-87.59986099999803","24906"
"Shedd Aquarium",402,"41.86722596619295","-87.61535538936059","24792"
"Wilton Ave & Belmont Ave",1773,"41.94023189857412","-87.65294372508731","24654"
"Dusable Harbor",1610,"41.886976024469725","-87.61281301740236","24446"
"Michigan Ave & Washington St",252,"41.883983830434005","-87.62468415716928","24347"
"Wells St & Hubbard St",1783,"41.88990609937746","-87.63426601250863","23756"
"Wells St & Huron St",1736,"41.89472191926295","-87.63436190629282","23714"
"Dearborn Pkwy & Delaware Pl",1769,"41.89896861937905","-87.62991198899633","22819"
"LaSalle St & Illinois St",381,"41.890761922884046","-87.63169722729853","22723"
"Canal St & Adams St",255,"41.87925502435094","-87.639903901897","22579"
"New St & Illinois St",1737,"41.89084699984888","-87.61861691562191","22490"
"Daley Center Plaza",1734,"41.88424060799307","-87.62963405395033","22455"
"McClurg Ct & Ohio St",1743,"41.892592130592824","-87.61728918536261","22104"
"Michigan Ave & Lake St",1713,"41.88602203850951","-87.62439802495747","22019"
"Wabash Ave & Roosevelt Rd",1706,"41.86722683864111","-87.62596110441794","21715"
"Halsted St & Fulton St",654,"41.88687107160535","-87.64808895621431","21692"
"Ellis Ave & 60th St",1577,"41.785097280745575","-87.6010727289061","21538"
"Larrabee St & Kingsbury St",1733,"41.8977640072551","-87.64288377584205","21535"
"Desplaines St & Kinzie St",1729,"41.888716138854186","-87.64444786038604","21528"
"DuSable Lake Shore Dr & Diversey Pkwy",1845,"41.932588000000656","-87.63642700000186","21252"
"Ashland Ave & Division St",273,"41.903449990398066","-87.66774711755089","20997"
"Sheffield Ave & Fullerton Ave",1740,"41.925542939770146","-87.65370215354574","20898"
"Sheffield Ave & Waveland Ave",1767,"41.94939899999226","-87.65452900001702","20686"
"Green St & Madison St",1764,"41.88185935594918","-87.64926379875476","20446"
"Clark St & Wrightwood Ave",1714,"41.929546000006965","-87.64311800000644","20385"
"Broadway & Waveland Ave",366,"41.94907400000248","-87.64863599999823","20288"
"Broadway & Cornelia Ave",352,"41.945528921343055","-87.64643904605313","20210"
"Halsted St & Clybourn Ave",849,"41.9096679945354","-87.64812802851448","19931"
"Clinton St & Lake St",258,"41.88563699301401","-87.64182299336505","19842"
"Columbus Dr & Randolph St",344,"41.8847279009892","-87.61952141094875","19732"
"Orleans St & Merchandise Mart Plaza",1717,"41.88824300705056","-87.63638982823167","19562"
"Dearborn St & Monroe St",1710,"41.88131976794519","-87.62952125470316","19547"
"Kingsbury St & Erie St",345,"41.89416764968175","-87.64169924676371","19488"
"Damen Ave & Pierce Ave",1727,"41.90939442537769","-87.67769057039638","19459"
"Ellis Ave & 55th St",1622,"41.794300620541094","-87.60144977341069","19419"
"Lincoln Ave & Fullerton Ave",1854,"41.92416107593268","-87.64638046024928","19249"
"Michigan Ave & 8th St",1165,"41.872772935979356","-87.6239810066001","19066"
"Morgan St & Polk St",1771,"41.87173711496299","-87.65102996217476","19019"
"Clark St & Newport St",1177,"41.944539999997225","-87.65467800001045","18938"
"Clark St & Drummond Pl",1778,"41.93124803863826","-87.64433599850491","18852"
"Montrose Harbor",1799,"41.963982000000996","-87.63818100000945","18815"
"Pine Grove Ave & Waveland Ave",1782,"41.94947272636832","-87.64645277919128","18693"
"Ravenswood Ave & Lawrence Ave",1859,"41.968445000004166","-87.67422599998748","18683"
"DuSable Lake Shore Dr & Belmont Ave",1849,"41.94077499999691","-87.6391919999889","18485"
"St. Clair St & Erie St",256,"41.89434516775358","-87.62279834486912","18391"
"Clark St & Lake St",1575,"41.88602080962357","-87.63087601643228","18244"
"Loomis St & Lexington St",369,"41.87222864279639","-87.66136385429014","18061"
"Larrabee St & Webster Ave",319,"41.92182182265355","-87.64413968956488","18012"
"Fairbanks Ct & Grand Ave",1707,"41.89184735531417","-87.620580316114","17729"
"Federal St & Polk St",1699,"41.872077895936556","-87.62954361732025","17729"
"Halsted St & Roscoe St",1835,"41.943670015666676","-87.6489500432296","17670"
"Lakeview Ave & Fullerton Pkwy",1831,"41.92585800662815","-87.63897295811712","17554"
"Clark St & Schiller St",1834,"41.90799310151758","-87.63150100879479","17543"
"Southport Ave & Waveland Ave",331,"41.94806976032949","-87.66400240820825","17537"
"Wells St & Evergreen Ave",1816,"41.906724111288646","-87.63483000258543","17303"
"LaSalle St & Jackson Blvd",1821,"41.878165990023476","-87.63192907572713","17044"
"DuSable Lake Shore Dr & Wellington Ave",1750,"41.936688449499655","-87.63682901859283","17012"
"Franklin St & Jackson Blvd",1718,"41.87770802470644","-87.63532151271644","16911"
"Peoria St & Jackson Blvd",310,"41.87764163340982","-87.64961759698103","16681"
"Franklin St & Lake St",1759,"41.88583716852116","-87.6355003050478","16649"
"Southport Ave & Roscoe St",276,"41.9437392132663","-87.66401999001722","16576"
"McClurg Ct & Erie St",1597,"41.89450298056014","-87.61785433121177","16448"
"State St & Randolph St",1719,"41.88462097777386","-87.62783431232828","16360"
