"start_station_name","s_station_uid","avg_lat","avg_lng","instances"
NULL,1683,"41.9113268313253","-87.65300717324246","1011681"
"Streeter Dr & Grand Ave",259,"41.89227634650637","-87.61205404207557","65201"
"DuSable Lake Shore Dr & Monroe St",360,"41.88097890937192","-87.61675515906289","43311"
"Kingsbury St & Kinzie St",1598,"41.889190020131984","-87.63851309200001","39196"
"Michigan Ave & Oak St",266,"41.90097286151756","-87.62378501144839","39112"
"DuSable Lake Shore Dr & North Blvd",1681,"41.9117213150786","-87.62680465179815","38987"
"Clark St & Elm St",1749,"41.902947226165175","-87.63136458670081","35332"
"Clinton St & Washington Blvd",1863,"41.8834133401162","-87.64121576513456","34304"
"Clinton St & Madison St",1722,"41.88260389575473","-87.64121502534206","32637"
"Millennium Park",254,"41.88104875301091","-87.62409422242307","32616"
"Wells St & Concord Ln",1817,"41.91211167527812","-87.63469955718399","31998"
"Wells St & Elm St",1652,"41.90320150853266","-87.63441101292214","30266"
"Theater on the Lake",1793,"41.92627942450025","-87.63086096953678","29353"
"Dearborn St & Erie St",267,"41.894025606174566","-87.62932948945371","27420"
"State St & Chicago Ave",646,"41.89661892702338","-87.62861938808221","26905"
"Clinton St & Jackson Blvd",1186,"41.8783441675251","-87.64104915316932","26095"
"Wabash Ave & Grand Ave",1762,"41.89145989413411","-87.62677234719017","25941"
"Indiana Ave & Roosevelt Rd",1696,"41.867900989105834","-87.62304572810888","25894"
"Shedd Aquarium",402,"41.86723889819172","-87.61540481007066","25548"
"Canal St & Madison St",371,"41.88234219367406","-87.63973848172249","25423"
"Clark St & Armitage Ave",304,"41.918298611710874","-87.63629479384171","25253"
"Dusable Harbor",1610,"41.88697122982185","-87.61282022986683","24792"
"Clark St & Lincoln Ave",316,"41.91570022146279","-87.63460687355332","24655"
"University Ave & 57th St",1616,"41.79147826050799","-87.59987944541938","24598"
"Wells St & Huron St",1736,"41.894729056203396","-87.63438918881714","24510"
"Wilton Ave & Belmont Ave",1773,"41.94019589607896","-87.65295227755604","24425"
"Michigan Ave & Washington St",252,"41.88398433410879","-87.62465775740955","24291"
"Broadway & Barry Ave",299,"41.937603645692505","-87.64410223930228","24229"
"Wells St & Hubbard St",1783,"41.88994211908214","-87.6342959387927","23860"
"Desplaines St & Kinzie St",1729,"41.888695733525275","-87.64445131380508","23782"
"LaSalle St & Illinois St",381,"41.89077938330689","-87.63170843500785","23387"
"Dearborn Pkwy & Delaware Pl",1769,"41.89895726769245","-87.62993563238254","22706"
"New St & Illinois St",1737,"41.89082775379599","-87.61860827138634","22560"
"Canal St & Adams St",255,"41.879288251538476","-87.6399431007195","22394"
"Columbus Dr & Randolph St",344,"41.884704098143864","-87.61956519989937","22356"
"Larrabee St & Kingsbury St",1733,"41.897736829869544","-87.64296724380182","22170"
"Michigan Ave & Lake St",1713,"41.88601378512228","-87.62444395783132","21994"
"McClurg Ct & Ohio St",1743,"41.89259521769042","-87.61732372217679","21835"
"Wabash Ave & Roosevelt Rd",1706,"41.86715584617307","-87.62597053518996","21686"
"Ellis Ave & 60th St",1577,"41.785103452491654","-87.60108225427349","21623"
"Halsted St & Fulton St",654,"41.886848580323964","-87.6480986073484","21473"
"Daley Center Plaza",1734,"41.884213629403426","-87.62961657787694","21347"
"Sheffield Ave & Fullerton Ave",1740,"41.92554184234005","-87.65369986116019","21043"
"Ashland Ave & Division St",273,"41.90341065815655","-87.66778008962427","20852"
"Kingsbury St & Erie St",345,"41.894146454427315","-87.64172280490482","20785"
"DuSable Lake Shore Dr & Diversey Pkwy",1845,"41.93256062882405","-87.63643267423495","20697"
"Michigan Ave & 8th St",1165,"41.87274792246653","-87.62398585511286","20432"
"Orleans St & Merchandise Mart Plaza",1717,"41.88816722763007","-87.63652139113009","20304"
"Clinton St & Lake St",258,"41.885622719321645","-87.64186533494498","20237"
"Broadway & Cornelia Ave",352,"41.945517809534145","-87.64645202538772","20099"
"Clark St & Wrightwood Ave",1714,"41.929550836690375","-87.64313443712874","20098"
"Green St & Madison St",1764,"41.88186934822997","-87.6492454389054","19995"
"Broadway & Waveland Ave",366,"41.949067034667216","-87.64862432199837","19896"
"Halsted St & Clybourn Ave",849,"41.909654862964224","-87.64812786031827","19616"
"Dearborn St & Monroe St",1710,"41.88121471263496","-87.62956930997056","19429"
"Ellis Ave & 55th St",1622,"41.79430147419089","-87.6014446756307","19311"
"Morgan St & Polk St",1771,"41.87180027854797","-87.65103661222517","19195"
"Clark St & Lake St",1575,"41.88601353458683","-87.63092589112108","19053"
"Lincoln Ave & Fullerton Ave",1854,"41.924169194623566","-87.64638061340179","19014"
"Damen Ave & Pierce Ave",1727,"41.9094033127674","-87.67768774054606","18888"
"Montrose Harbor",1799,"41.96395726790132","-87.63818981855023","18809"
"Ravenswood Ave & Lawrence Ave",1859,"41.968448545654944","-87.6742204734782","18726"
"Loomis St & Lexington St",369,"41.87222155686668","-87.66137170068268","18438"
"DuSable Lake Shore Dr & Belmont Ave",1849,"41.940746542560866","-87.63917569891196","18292"
"Pine Grove Ave & Waveland Ave",1782,"41.949433350609084","-87.64645494852837","18186"
